date_id,region,generation,value
10,Austria,non-renewable,909900.5
11,Austria,non-renewable,1282135.5
12,Austria,non-renewable,1325868
10,Austria,renewable,3487713.75
11,Austria,renewable,2777145
12,Austria,renewable,3048509.75
10,Denmark,non-renewable,552572
11,Denmark,non-renewable,699500
12,Denmark,non-renewable,1039751
10,Denmark,renewable,2003291
11,Denmark,renewable,2532196
12,Denmark,renewable,2260082
10,France,non-renewable,23847589
11,France,non-renewable,26139598
12,France,non-renewable,32722047
10,France,renewable,7924255
11,France,renewable,9561429
12,France,renewable,9831172
10,Germany,non-renewable,22813461.37
11,Germany,non-renewable,25938446.07
12,Germany,non-renewable,29573313.28
10,Germany,renewable,21165066.05
11,Germany,renewable,20939441.93
12,Germany,renewable,18194758.62
